,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
0,Aboriginal and Torres Strait Islander PhD Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2018-19 Round 4,Central Queensland University,Norman Gardens,4701.0,, BHP Billiton,Decolonising the systematic barriers and enablers of Indigenous career progression in MiningCo (BHP). An Aboriginal perspective - Terry Bell,Brisbane City,4001.0,,14/06/2019,Rockhampton (R),Brisbane and Redlands,Keppel,107084.0
1,Aboriginal and Torres Strait Islander PhD Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2015-16 Round 1,Griffith University,Nathan,4111.0,,,An indigenous journey through the 21st century educational landscapes of new metrics - Troy Meston,Nathan,4111.0,,28/01/2016,Brisbane (C),Brisbane and Redlands,Toohey,117500.0
2,Aboriginal and Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2017-18 Round 3,Queensland University of Technology,Brisbane City,4000.0,, Engineered Wood Products Association Australasia Ltd,An Innovative Framing System for Taller Timber-Framed Buildings – Craig Cowled,Brisbane City,4000.0,,21/08/2018,Brisbane (C),Brisbane and Redlands,McConnel,240000.0
3,Aboriginal and Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2015-16 Round 1,CSIRO,Smithfield,4878.0,, CSIRO,Transforming hidden data: An integrative information system for Torres Strait - Cass Hunter,Smithfield,4878.0,,28/01/2016,Cairns (R),Far North Queensland,Barron River,158032.0
4,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Redland City Council,Cleveland,4163.0,," Community Information Support Services Ltd 
 Logan City Council 
 Redland City Chamber Of Commerce Inc 
 Global Community Resourcing Pty Ltd 
 Social Enterprise Network Logan Limited 
 TAFE Queensland Brisbane 
 Griffith University - Logan Campus - Master 
 YFS Ltd",Growing innovation in the Redlands and Logan region,Cleveland,4163.0,"Meadowbrook, Alexandra Hills, Springwood",21/09/2017,Redland (C),Brisbane and Redlands,Oodgeroo,500000.0
5,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Tablelands Regional Council,Atherton,4883.0,," Natural Evolution Pty Ltd 
 Farmer Meets Foodie 
 James Cook University (JCU) 
 AusIndustry 
 iiHub Ltd 
 Rural And Remote Innovation Australia (RRIA) Inc 
 Telstra Corporation Limited 
 YEP Entrepreneurship Facilitators Cairns",Tablelands Innovation Program,Atherton,4883.0,,11/11/2020,Tablelands (R),Far North Queensland,Hill,45000.0
6,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Sunshine Coast Regional Council,Maroochydore,4558.0,," Noosa Shire Council 
 University of the Sunshine Coast 
 Central Queensland University - Noosa Campus Master 
 Regional Development Australia Sunshine Coast Incorporated 
 Suncentral Maroochydore Pty Ltd 
 The Old Ambulance Station (Sunshine Coast Arts Industry Precinct Inc.) 
 Innovate Noosa Inc. 
 BDO Australia Limited 
 Suncare Community Services Ltd 
 Stockland Corporation Ltd 
 Australia And New Zealand Banking Group Limited t/a ANZ 
 Telstra Corporation Limited 
 Innovation Centre Sunshine Coast Pty Ltd",Sunshine Coast Regional Innovation Program #SCRIPT,Maroochydore,4558.0,"Sippy Downs, Nambour, Tewantin",2/06/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,500000.0
7,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Smart Precinct NQ Limited,Townsville City,4810.0,,,"North Queensland Investment, Innovation & Industry Catalyst",Townsville City,4810.0,,2/07/2020,Townsville (C),Townsville,Townsville,500000.0
8,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Wide Bay Burnett Regional Organisation of Councils Inc.,Gympie,4570.0,," University of the Sunshine Coast 
 The Generator Bundaberg Pty Ltd 
 Mt Rawdon Operations Pty Ltd 
 Red Earth Community Foundation South Burnett Limited 
 Berwin Ltd",Develop a Collaborative Action Plan and advise on the submission of a subsequent full application for the Wide Bay Burnett region ((LINKED TO AQARIPFULL00216-17),Gympie,4570.0,,19/01/2017,Gympie (R),Wide Bay,Gympie,20000.0
9,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Wide Bay Burnett Regional Organisation of Councils Inc.,Gympie,4570.0,," University of the Sunshine Coast 
 Fraser Coast Regional Council 
 Bundaberg Regional Council 
 The Generator Bundaberg Pty Ltd 
 Community Lifestyle Support Ltd 
 Gympie Regional Council 
 Gympie Chamber Of Commerce Inc 
 Ag & Industry Pty Ltd trading as Kandanga Farm Store 
 Gympie & District Home For The Aged Inc trading as Cooinda Aged Care Centre 
 Mary Valley Chamber of Commerce Inc. 
 South Burnett Regional Council 
 Kingaroy Chamber Of Commerce & Industry Inc 
 P.J Howlett & R.J Howlett 
 BGA Agriservices Ltd 
 Peanut Company Of Australia Limited 
 Burnett Water Services 
 North Burnett Regional Council 
 Burnett Inland Economic Development Organisation Inc 
 University Of Southern Queensland 
 AGL Energy Limited 
 Berwin Ltd 
 Central Queensland University - Bundaberg Campus - Master 
 Bundaberg Enterprise Centre Association Inc",Delivering Innovation in the Wide Bay Burnett Region (LINKED TO AQARIPSTAGED00116-17),Gympie,4570.0,"Gayndah, Kingaroy",17/07/2017,Gympie (R),Wide Bay,Gympie,478330.0
10,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Greater Whitsunday Alliance Limited,Mackay,4740.0,," Central Queensland University - Rockhampton Campus - Master 
 Mackay Regional Council 
 Resource Industry Network Co-op Ltd 
 Regional Development Australia Mackay-Isaac -Whitsunday Inc. 
 Startup Mackay Inc 
 Split Spaces Ltd",Develop a Collaborative Action and advise on the submission of a subsequent full application for the Mackay-Isaac-Whitsunday region (LINKED TO AQARIPFULL00316-17),Mackay,4740.0,,24/02/2017,Mackay (R),Mackay-Whitsunday,Mackay,20000.0
11,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Toowoomba and Surat Basin Enterprise Pty Ltd,Toowoomba,4350.0,," Toowoomba Regional Council 
 Maranoa Regional Council 
 Balonne Shire Council 
 Regional Development Australia Darling Downs and South West Inc 
 University Of Southern Queensland 
 Western Downs Regional Council 
 Darling Downs Hospital and Health Service",Regional 400M,Toowoomba City,4350.0,"St George, Dalby, Goondiwindi",5/09/2017,Toowoomba (R),Darling Downs,Toowoomba North,500000.0
12,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Moreton Bay Region Industry and Tourism Limited,Kippa-Ring,4021.0,," University of the Sunshine Coast 
 Samford Commons Ltd 
 Grace Lutheran College 
 SRJ Walker Wayland Pty Ltd 
 SBIM 
 The Hills & Districts Chamber of Commerce 
 Regional Development Australia Moreton Bay Inc 
 Coastal Protection Core 
 Streten Masons Lawyers",Moreton Bay Region Sustainable Innovation Partnership program,Kippa-Ring,4021.0,"Samford Valley, Narangba",20/08/2017,Moreton Bay (R),Moreton Bay,Redcliffe,499980.0
13,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Gold Coast Innovation Hub Limited,Varsity Lakes,4227.0,," Opmantek Software Pty Ltd 
 Mclaughlins Lawyers Pty Ltd 
 Scale Innovations Pty Ltd 
 42 Innovations Pty Ltd 
 IT Forum Gold Coast Inc 
 Gold Coast City Council 
 Prime Financial 
 Sports Gold Coast Limited 
 Gold Coast Techspace Inc 
 TAFE Queensland",Gold Coast Hub,Varsity Lakes,4227.0,"Coomera, Tweed Heads",27/07/2017,Gold Coast (C),Gold Coast,Mermaid Beach,500000.0
14,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Greater Whitsunday Alliance Limited,Mackay,4740.0,," Central Queensland University - Mackay Campus 
 Mackay Regional Council 
 Resource Industry Network 
 Mackay Innovation Centre 
 Whitsunday Regional Council 
 Isaac Regional Council 
 Regional Development Australia Mackay-Isaac -Whitsunday Inc. 
 Startup Mackay Inc 
 Split Spaces Ltd",Growing the Innovation Ecosystem in the Greater Whitsunday Region (LINKED TO AQARIPSTAGED00216-17),Mackay,4740.0,"Bowen, Moranbah",11/08/2017,Mackay (R),Mackay-Whitsunday,Mackay,480000.0
15,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,GHD Pty Ltd,Townsville,4810.0,," Townsville City Council 
 Palm Island Aboriginal Shire Council 
 Charters Towers Regional Council 
 Townsville Chamber of Commerce 
 Burdekin Shire Council",I-TAP North Queensland,Townsville City,4810.0,"Charters Towers, Ayr, Ingham",26/09/2017,Townsville (C),Townsville,Townsville,74000.0
16,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Health Management Pty Ltd,Cairns North,4870.0,," The Space Australasia Pty Ltd 
 Didgigo Marketing Pty Ltd 
 Amazon Web Services Australia Pty Ltd 
 James Cook University - Cairns Campus - Master 
 MacDonnells Law Pty Ltd 
 Central Queensland University - Cairns Campus - Master 
 Department of Industry, Science, Energy and Resources 
 Art Work Space Pty Ltd 
 PieLAB Capital Pty Ltd 
 FNQ Angels Inc 
 Cairns Regional Council 
 Cairns Chamber of Commerce Inc",Launch FNQ Innovation Ecosystem Activation and Education Project,Cairns North,4870.0,,11/11/2020,Cairns (R),Far North Queensland,Cairns,230000.0
17,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Ignite Far North Queensland Limited,Manunda,4870.0,," The Space Australasia Pty Ltd 
 Northern Gulf Resource Management Group Ltd 
 Tablelands Regional Council 
 enVizion Group Inc 
 James Cook University - Cairns Campus - Master",Advancing Regional Innovation in FNQ through the IgniteFNQ Collaborative Action Plan (LINKED TO AQARIPSTAGED00316-17),Cairns City,4870.0,"Wujal Wujal, Mareeba, Mossman, Bamaga, Thursday island, Cooktown, Weipa",26/06/2017,Cairns (R),Far North Queensland,Cairns,315000.0
18,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Central Highlands Development Corporation Limited,Emerald,4720.0,," Central Highlands Regional Council 
 BHP Billiton Limited 
 C-Res (Qld) Pty Ltd 
 Rural Business Collective Pty Ltd 
 Central Queensland University (CQUniversity Australia)",Building and Bridging the Region’s New Economy,Emerald,4720.0,"Theodore, Tieri",28/08/2017,Central Highlands (R),Central Queensland,Gregory,500000.0
19,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Ipswich City Council,Ipswich,4305.0,," Future Anything Pty Ltd 
 Ipswich Region Chamber of Commerce & Industry 
 Motor Trades Association of QLD Industrial Organisation Of Employers 
 Startup Toowoomba Pty Ltd 
 Upower Leadership Program Pty Ltd 
 Greater Springfield Chamber of Commerce 
 TAFE Queensland - Bundamba 
 Brisbane Broncos Ltd 
 Springfield City Group Pty Limited 
 University Of Southern Queensland - Springfield Campus - Master 
 Workrestart Pty Ltd 
 STEM Punks Ventures Pty Ltd 
 Telstra Corporation Limited 
 Ambition Group Limited 
 Firestation 101 (Ipswich City Enterprises Pty Ltd)",Creating a foundation of entrepreneurial talent and culture in Ipswich & West Moreton,Ipswich,4305.0,"Gatton, Harrisville",29/06/2017,Ipswich (C),Ipswich,Ipswich,432125.0
20,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Innovation NQ Inc.,Townsville,4810.0,," James Cook University - Townsville Campus - Master 
 JESI Management Solutions Pty Ltd - Townsville 
 Honeycombes Developments Pty Ltd 
 The Philip Leong Youth Program 
 Sister City Partners Limited 
 Dec-Mech Pty Ltd",INQ Innovation Ecosystem Development,Townsville City,4810.0,"Charters Towers, Ingham & Ayr",26/09/2017,Townsville (C),Townsville,Townsville,150000.0
21,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Central Western Queensland Remote Area Planning And Development Board,Longreach,4730.0,," James Cook University - Townsville Campus - Master 
 Central Queensland University - Rockhampton Campus - Master 
 South West Regional Economic Development Association 
 Mckinlay Shire Council 
 Local Government Association of Queensland 
 The Outback Queensland Tourism Association Inc 
 University of Southern Queensland (Institute of Resilient Regions) 
 Education Queensland 
 Queensland University Of Technology 
 Price Waterhouse Coopers 
 Telstra Corporation Limited 
 GWI Pty Ltd",Outback Queensland Collaborative Innovation Project,Longreach,4730.0,"Cunnamulla, Julia Creek",13/06/2017,Longreach (R),Outback Queensland,Gregory,487248.0
22,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Regional Development Australia Far North Queensland and Torres Strait Incorporated,Cairns,4870.0,," Tablelands Regional Council 
 The Space Australasia Pty Ltd 
 EnVizion Group Inc 
 Northern Gulf Resource Management Group Ltd 
 James Cook University",Develop a Collaborative Action & advise on the submission of a subsequent full application for the Far North Queensland region (LINKED TO AQARIPFULL00816-17),Cairns City,4870.0,,20/03/2017,Cairns (R),Far North Queensland,Cairns,20000.0
23,Agtech and Logistics Hub,,Agrifood Connect Limited,Toowoomba City,4350.0,"University of Southern Queensland
University of Queensland","Toowoomba and Surat Basin Enterprise
FKG Group",Agtech and Logistics Hub,Toowoomba City,4350.0,,25/09/2020,Toowoomba (R),Darling Downs,Toowoomba North,3000000.0
24,Artificial Intelligence Hub,,AI Consortium Pty Ltd,Fortitude Valley,4006.0,"The University of Queensland, Queensland University of Technology",KPMG,Artificial Intelligence Hub,Fortitude Valley,4006.0,,6/03/2020,Brisbane (C),Brisbane,McConnel,5000000.0
25,AustCyber - Establishment of a Queensland Node,,Australian Cyber Security Growth Network Ltd,Griffith,2603.0,,,Establishment of Queensland Cyber Security Hub,Statewide,,Townsville (part time only),26/05/2020,NonQueensland,Statewide,NonQueensland,160000.0
26,BDO Business of Entrepreneurship,,Acceler8 Pty Ltd,Brisbane City,4000.0,,,Acceler8 for delivery of the BDO Business of Entrepreneurship Program: supporting startups and scaleups in a COVID-19 world,Brisbane City,4000.0,,4/06/2020,Brisbane (C),Brisbane and Redlands,McConnel,356396.0
27,Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Southern Oil Refining Pty Ltd,Bomen,2650.0,, Carbon Free Renewables Pty Ltd,Bio-Hydrogen Generation for Bio-fuel Production,Yarwun,4694.0,,2/06/2017,NonQueensland,Central Queensland,NonQueensland,1000000.0
28,Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,The University of Queensland,St Lucia,4067.0,, Amyris Inc.,Queensland Strain Factory,St Lucia,4067.0,"Emeryville (California, USA)",12/06/2017,Brisbane (C),Brisbane and Redlands,Maiwar,496000.0
29,Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Woods Grain Pty Ltd,Goondiwindi,4390.0,, The University of Queensland - St Lucia Campus - Master,New Algae Farm in Goondiwindi,Goondiwindi,4390.0,,2/06/2017,Goondiwindi (R),Darling Downs,Southern Downs,579000.0
30,Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,MP Australia Holdings Pty Ltd,Gordonvale,4865.0,," Queensland University of Technology - Gardens Point Campus - Master 
 Ausagave 
 Howe Farming",Agave and sugarcane: integrated bioindustries,Arriga,4880.0,Brisbane  /  Mackay  /  Maryborough,2/06/2017,Cairns (R),Far North Queensland,Mulgrave,180000.0
31,Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Aquatec Maxcon Pty Ltd,Wulkuraka,4305.0,, Trisco Foods Pty Ltd,Anaerobic membrane bioreactor for biogas,Carole Park,4300.0,Ipswich,2/06/2017,Ipswich (C),Ipswich,Ipswich West,400000.0
32,Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Dugalunji Aboriginal Corporation,Camooweal,4828.0,, The University of Queensland,QLD Spinifex Nano-Cellulose Industry,Indooroopilly,4068.0,Camooweal,2/06/2017,Mount Isa (C),Brisbane and Redlands,Traeger,995129.0
33,Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Inkerman Canegrowers Organisation Limited,Home Hill,4086.0,," Mr Gregory O'Hanlon 
 S&L Peters Pty Ltd 
 Nothern Oils Refinery Pty Ltd 
 Northern Australia Cropping Consultants Pty Ltd 
 Recycling Technologies Group",Burdekin BioFutures Project,Home Hill,4806.0,Gladstone  /  Brisbane  /  Maryborough  /  Melbourne  /  Eden (NSW),2/06/2017,Burdekin (S),Townsville,Burdekin,125000.0
34,Bionics,,Bionics Queensland Limited,Ashgrove,4060.0,,,Bionics Queensland Innovation and Research Challenge,Ashgrove,4060.0,,22/05/2020,Brisbane (C),Brisbane and Redlands,Cooper,100000.0
35,Bionics,,Bionics Queensland Limited,Ashgrove,4060.0,, Motor Accident Insurance Commission,Bionics Ecosystem Mapping Study,Ashgrove,4060.0,,3/06/2020,Brisbane (C),Brisbane and Redlands,Cooper,60000.0
36,Clem Jones Centre for Ageing Dementia Research,Clem Jones Centre for Ageing Dementia Research,The University of Queensland,St Lucia,4067.0,,,Commercial development of the ultrasound application for Alzheimer's disease treatment developed at Queensland Brain Institute's Clem Jones Centre for Ageing Dementia Research,St Lucia,4067.0,,1/06/2018,Brisbane (C),Brisbane and Redlands,Maiwar,5000000.0
37,Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Smart Sensor Technologies Pty Ltd,Corinda,4075.0,,,WineMinder,Corinda,4075.0,"Guangzhou, China",23/03/2017,Brisbane (C),Brisbane and Redlands,Mount Ommaney,17482.0
38,Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,AusAsia Health Innovation Pty Ltd,Fairfield,4103.0,,,The Traeger’s Box - portable EMR device for medical emergency,Fairfield,4103.0,"Beijing, China",23/03/2017,Brisbane (C),Brisbane and Redlands,Miller,17070.0
39,Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Ocean Organics Australia Pty Ltd,Alexandra Hills,4161.0,,,"Seagrass extract uses for the pharmaceutical, healthcare or skincare industries.",Alexandra Hills,4161.0,"Shanghai, China",23/03/2017,Redland (C),Brisbane and Redlands,Capalaba,15895.0
40,Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Elanra Medical Pty Ltd,Varsity Lakes,4227.0,,,Distribute Elanra Medical throughout China,Varsity Lakes,4227.0,"Suzhou, China",23/03/2017,Gold Coast (C),Gold Coast,Burleigh,19899.0
41,Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Go Evolve Pty Ltd as trustee for Evolve Group Unit Trust,Surfers Paradise,4217.0,,,Universal Modular Building System,Surfers Paradise,4217.0,"Shenzhen, China",23/03/2017,Gold Coast (C),Gold Coast,Surfers Paradise,13209.0
42,Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Applied Matter Systems Pty Ltd,Kangaroo Point,4169.0,,,"Bringing Dimension to e-Commerce, off Screen and into Consumers' Hands",Kangaroo Point,4169.0,Guangzhou,23/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,17727.0
43,Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Griffith University,Nathan,4111.0,,,Low Cost SiC Schottky Diodes,Nathan,4111.0,"Shanghai, China",23/03/2017,Brisbane (C),Brisbane and Redlands,Toohey,9853.0
44,Create Queensland,Round 2,Deanne & Masao,Currumbin,4223.0,,,Guinness World Records of Hula Hooping,,,Online,29/06/2017,Gold Coast (C),Statewide,Currumbin,30000.0
45,Create Queensland,Round 2,Andy Thomsen,Strathdickie,4800.0,,,Andy's Fishing,,,Online,29/06/2017,Whitsunday (R),Statewide,Whitsunday,30000.0
46,Create Queensland,Round 2,Olivia Weeks,Wellington Point,4160.0,,,Behind the scenes: Recording an EP,,,Online,29/06/2017,Redland (C),Statewide,Oodgeroo,10000.0
47,Create Queensland,Round 3,Mark Valencia,Bellmere,4510.0,QUT/GU,Screen Queensland/YouTube,Self Sufficient Me,,,Online,10/08/2018,Moreton Bay (R),Statewide,Glass House,27500.0
48,Create Queensland,Round 1,Tom Horn,Annerley,4103.0,,,TOM THUM: Live from the Larynx’,,,Online,9/08/2016,Brisbane (C),Statewide,Miller,30000.0
49,Create Queensland,Round 1,Alysse Skilton,Hervey Bay,4655.0,,,Madison Herring: SexybubbleGumBritneySpearsStar49,,,Online,9/08/2016,Fraser Coast (R),Statewide,Hervey Bay,10000.0
50,Create Queensland,Round 1,Stephanie Hames,Buderim,4556.0,,,Short horror films,,,Online,9/08/2016,Sunshine Coast (R),Statewide,Buderim,10000.0
51,Create Queensland,Round 2,Andrew Price,Shailer Park,4128.0,,,Explaining the 3D industry,,,Online,29/06/2017,Logan (C),Statewide,Springwood,30000.0
52,Create Queensland,Round 1,Sara Holmes,Chapel Hill,4069.0,,,Australia Vs Korea,,,Online,9/08/2016,Brisbane (C),Statewide,Moggill,30000.0
53,Create Queensland,Round 1,Elly Awesome,Holland Park West,4121.0,,,Show me your food,,,Online,9/08/2016,Brisbane (C),Statewide,Greenslopes,30000.0
54,Create Queensland,Round 3,Zach Mander,Mitchelton,4053.0,QUT/GU,Screen Queensland/YouTube,Collective Noun,,,Online,10/08/2018,Brisbane (C),Statewide,Everton,27500.0
55,Data61,,Commonwealth Scientific And Industrial Research Organisation T/A Data61,Fortitude Valley,4006.0,,Data61,"Establishing a Functional Programming Open Lab, Big Data Platform Challenge, Q-Foresight, Queensland Research Fellow (Q-Foresight)",Fortitude Valley,4006.0,,5/12/2016,Brisbane (C),Brisbane,Mackay,5695000.0
56,Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605.0,,,Cherbourg digital connectivity pilot – access to Starlink satellite internet service for 12 months,Cherbourg,4605.0,"Peregian Digital Hub, Noosa Council - will also host some of the activities",2/02/2022,Cherbourg (S),Wide Bay,Nanango,35391.0
57,Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605.0,, National Indigenous Australians Agency,Cherbourg Material Recovery Facility,Cherbourg,4605.0,,25/11/2022,Cherbourg (S),Wide Bay,Nanango,10000.0
58,Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605.0,, Indigenous Land and Sea Corporation,Cherbourg AI Project - From Waste to Data to Opportunity,Cherbourg,4605.0,,9/09/2020,Cherbourg (S),Wide Bay,Nanango,150000.0
59,Deadly Innovation,Round 1,BCF Concreting Solutions Pty Ltd,Rockhampton City,4700.0,,,Top Con GPS millimietre guidance system for Wirtgen former.,Rockhampton City,4700.0,312 Alexandra Street Kawana 4701,13/07/2020,Rockhampton (R),Central Queensland,Rockhampton,100000.0
60,Deadly Innovation,Round 1,Sobah Beverages Pty Ltd,Burleigh Heads,4220.0,,,Dry Shelf Stabilisation of Products,Burleigh Heads,4220.0,,21/08/2019,Gold Coast (C),Gold Coast,Burleigh,100000.0
61,Deadly Innovation,Round 1,Islex Australia Pty Ltd,Kingston,4114.0,,,Smart Syphon Commercialisation,Kingston,4114.0,Cotton Farm locations across regional Queensland and NSW.,30/09/2020,Logan (C),Logan,Waterford,100000.0
62,Deadly Innovation,Round 1,Minjerribah Art Studio & Cottage Pty Ltd,Dunwich,4183.0,,,Support to scale - Expo 2020 Dubai,Dunwich,4183.0,Dubai - attendance at Expo,31/05/2021,Redland (C),Brisbane and Redlands,Oodgeroo,25000.0
63,Deadly Innovation,Round 1,Hopevale Congress Aboriginal Corporation RNTBC,Cooktown,4895.0,,,Business Case - Hopevale Black Lip Oysters,Cooktown,4895.0,,23/09/2020,Cook (S),Far North Queensland,Cook,35638.0
64,Deadly Innovation,Round 1,Davis Trading Pty Ltd,Kawana,4701.0,,,Effective Feral Pig Control Traps,Kawana,4701.0,,13/08/2021,Rockhampton (R),Central Queensland,Rockhampton,100000.0
65,Deadly Innovation,Round 1,Nourishing Bites Pty Ltd,West End,4810.0,,,Commercialise Heavenly Hazel ChocHazelnut Spread,West End,4810.0,,13/07/2020,Townsville (C),Townsville,Townsville,100000.0
66,Deadly Innovation,Round 1,Pwron Pty Ltd,New Farm,4005.0,,,PWRON Temperature Alert Log System,New Farm,4005.0,"Mount Low, QLD",22/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
67,Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700.0,,,Wujal Wujal vanilla bean commercialisation business case,Wandal,4700.0,Wujal Wujal Queensland,19/10/2022,Rockhampton (R),Central Queensland,Rockhampton,45800.0
68,Deadly Innovation,Round 1,LOGiT Australia Pty Ltd,New Farm,4005.0,," CSIRO - EcoSciences Precinct - Master 
 MEGT Australia Ltd",Weavr - Reconciliation Action Plan monitoring and reporting system,New Farm,4005.0,,12/08/2021,Brisbane (C),Brisbane and Redlands,McConnel,50000.0
69,Deadly Innovation,Round 1,RRJ Engineering Pty Ltd T/A B&C Plastics,Meadowbrook,4131.0,, Container Exchange (QLD) Limited,Business Case and Pilot project - Dive fins from recycled plastic sourced from the Torres Strait,Meadowbrook,4131.0,"Cairns, Torres Strait, Thursday Island",21/10/2021,Logan (C),Logan,Waterford,35000.0
70,Deadly Innovation,Round 1,Iscariot Media Pty Ltd,Everton Park,4053.0,,,Western Yalanji AR project – Stage 2 of Western Yalanji rock art project,Everton Park,4053.0,,25/05/2022,Brisbane (C),Brisbane and Redlands,Everton,25000.0
71,Deadly Innovation,Round 1,Solar Relief Pty Ltd,Kirwan,4817.0,,,Commercialisation of Portable Power Supply.,Kirwan,4817.0,Brisbane,8/09/2020,Townsville (C),Townsville,Thuringowa,75000.0
72,Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700.0,,,Hopevale tropical blacklip rock oyster farm - Stage 1,Hope Vale,4895.0,,10/05/2022,Rockhampton (R),Far North Queensland,Rockhampton,15750.0
73,Deadly Innovation,Round 1,Department of Agriculture and Fisheries,Wilsonton Heights,4350.0,,,Indigenous Native Food Project - Phase 2,Wilsonton Heights,4350.0,Across Queensland,25/05/2022,Toowoomba (R),Darling Downs,Toowoomba North,200000.0
74,Deadly Innovation,Round 1,Woorabinda Aboriginal Shire Council,Woorabinda,4713.0,,,Business Case: Commercial Wattle Seed Production,Woorabinda,4713.0,,23/09/2020,Woorabinda (S),Central Queensland,Gregory,40500.0
75,Dubai South,,Trade and Investment Queensland,Brisbane City,4000.0,,,Dubai South Project 2107/18 - 2021,Dubai,,Dubai,22/01/2017,Brisbane (C),NonQueensland,McConnel,355000.0
76,Female Founders Program,,Advisory Board Centre Pty Ltd,Brisbane City,4000.0,,,Provision of Innovation Services Contract No. DITID 26-19,Brisbane City,4000.0,,4/03/2023,Brisbane (C),Brisbane,McConnel,76500.0
77,Female Founders Program,,Impact Innovation Group Pty Ltd,Brisbane City,4000.0,,,Provision of Innovation Services Contract No. DITID 25-19,Brisbane City,4000.0,,5/03/2019,Brisbane (C),Brisbane,McConnel,1452855.0
78,Female Founders Program,Round 1,SBE Australia Limited,"Bondi Junction, NSW",,,,SBE Evolve,Fortitude Valley,4006.0,,22/09/2021,NonQueensland,Brisbane,NonQueensland,30000.0
79,Female Founders Program,Scrunch Program,Scrunch Enterprises Pty Ltd,West End,4101.0,,,Female Founders Scrunch Program,West End,4101.0,,7/08/2020,Brisbane (C),Brisbane,South Brisbane,95409.0
80,Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Dr Philip Ellery,Burleigh Heads,4220.0,,,Epri - Insects for Food and Feed,Burleigh Heads,4220.0,,27/07/2017,Gold Coast (C),Gold Coast,Burleigh,100000.0
81,Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Microba Life Sciences Limited,Brisbane City,4000.0,,,Data Mining the Gut Microbiome,Brisbane City,4000.0,,27/07/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
